2025 World Championships,LR3MS4JIB2D
2025 Cardiff,LR3MS4JIB56
2025 New York,LR3MS4JIB91
2025 Riga,LR3MS4JIB7D
2025 Rimini,LR3MS4JIB69
2025 Bangkok,LR3MS4JIB41
2025 Berlin,LR3MS4JIAF1
2025 Incheon,LR3MS4JIB19
2025 Heerenveen,LR3MS4JIACA
2025 London,LR3MS4JIAB7
2025 Mumbai,LR3MS4JIADD
2025 Atlanta,LR3MS4JIA79
2025 Barcelona,LR3MS4JIAA2
2025 Miami Beach,LR3MS4JIAA3
2025 Paris,LR3MS4JIA69
2025 Cologne,LR3MS4JIA55
2025 Sharjah,LR3MS4JIA65
2025 Taipei,LR3MS4JIA3F
2025 Warsaw,LR3MS4JIA66
2025 Belgium,LR3MS4JIA54
2025 Monterrey,LR3MS4JIA52
2025 Shanghai,LR3MS4JIA3E
2025 Washington D.C. Open North American Championships,LR3MS4JIA40
2025 Malaga,LR3MS4JIA29
2025 Glasgow,LR3MS4JIA1A
2025 Copenhagen,LR3MS4JIA15
2025 Houston,LR3MS4JIA19
2025 Valencia,LR3MS4JIA01
2025 Brisbane,LR3MS4JI9DA
2025 Johannesburg,JGDMS4JI9A0
2025 Karlsruhe,LR3MS4JI9C5
2025 Rotterdam,JGDMS4JI99C
2025 Vienna,JGDMS4JI999
2025 Katowice,JGDMS4JI98D
2025 Bilbao,JGDMS4JI976
2025 Guadalajara,JGDMS4JI9A3
2025 St. Gallen,JGDMS4JI998
2025 Toulouse,JGDMS4JI9B1
2025 Auckland,JGDMS4JI98E
2025 Las Vegas,JGDMS4JI9A4
2025 Maastricht,JGDMS4JI996
2025 Turin,JGDMS4JI98C
2025 Manchester,JGDMS4JI992
2024 Frankfurt,JGDMS4JI964
2024 Melbourne,JGDMS4JI962
2024 Anaheim,JGDMS4JI93E
2024 Marseille,JGDMS4JI917
2024 Stockholm,JGDMS4JI93C
2024 London,JGDMS4JI939
2024 Hong Kong,JGDMS4JI8D9
2024 Dallas,JGDMS4JI925
2024 Beijing,JGDMS4JI8B7
2024 Chicago Navy Pier,JGDMS4JI918
2024 Dublin,JGDMS4JI8B1
2024 Manchester,JGDMS4JI8B0
2024 Ciudad de Mexico,JGDMS4JI913
2024 Paris,JGDMS4JI914
2024 Poznan,JGDMS4JI901
2024 Hamburg,JGDMS4JI8AE
2024 Birmingham,JGDMS4JI8FD
2024 Madrid,JGDMS4JI8EA
2024 Incheon,JGDMS4JI871
2024 Milan,JGDMS4JI8D6
2024 Amsterdam,JGDMS4JI899
2024 Nice,JGDMS4JI8C1
2024 Toronto,JGDMS4JI89A
2024 Stuttgart,JGDMS4JI872
2024 Perth,JGDMS4JI85E
